name,url,author,publisher,date,price,rate,comment
红楼梦,https://book.douban.com/subject/1007305/,[清] 曹雪芹 著 , 人民文学出版社 , 1996-12 , 59.70元,9.6,都云作者痴，谁解其中味？
活着,https://book.douban.com/subject/4913064/,余华 , 作家出版社 , 2012-8-1 , 20.00元,9.4,生的苦难与伟大
1984,https://book.douban.com/subject/4820710/,[英] 乔治·奥威尔 , 北京十月文艺出版社 , 2010-4-1 , 28.00,9.4,栗树荫下，我出卖你，你出卖我
百年孤独,https://book.douban.com/subject/6082808/,[哥伦比亚] 加西亚·马尔克斯 , 南海出版公司 , 2011-6 , 39.50元,9.3,魔幻现实主义文学代表作
三体全集,https://book.douban.com/subject/6518605/,刘慈欣 , 重庆出版社 , 2012-1-1 , 168.00元,9.4,地球往事三部曲
飘,https://book.douban.com/subject/1068920/,[美国] 玛格丽特·米切尔 , 译林出版社 , 2000-9 , 40.00元,9.3,革命时期的爱情，随风而逝
哈利·波特,https://book.douban.com/subject/24531956/,J.K.罗琳 (J.K.Rowling) , 人民文学出版社 , 2008-12-1 , 498.00元,9.7,从9¾站台开始的旅程
三国演义（全二册）,https://book.douban.com/subject/1019568/,[明] 罗贯中 , 人民文学出版社 , 1998-05 , 39.50元,9.3,是非成败转头空
房思琪的初恋乐园,https://book.douban.com/subject/27614904/,林奕含 , 北京联合出版公司 , 2018-2 , 45.00元,9.2,向死而生的文学绝唱
动物农场,https://book.douban.com/subject/2035179/,[英] 乔治·奥威尔 , 上海译文出版社 , 2007-3 , 10.00元,9.3,太阳底下并无新事
福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,[英] 阿·柯南道尔 , 1981-8 , 53.00元,68.00元,9.3,名侦探的代名词
白夜行,https://book.douban.com/subject/10554308/,[日] 东野圭吾 , 南海出版公司 , 2013-1-1 , 39.50元,9.1,一宗离奇命案牵出跨度近20年步步惊心的故事
小王子,https://book.douban.com/subject/1084336/,[法] 圣埃克苏佩里 , 人民文学出版社 , 2003-8 , 22.00元,9.0,献给长成了大人的孩子们
安徒生童话故事集,https://book.douban.com/subject/1046209/,（丹麦）安徒生 , 人民文学出版社 , 1997-08 , 25.00元,9.2,为了争取未来的一代
天龙八部,https://book.douban.com/subject/1255625/,金庸 , 生活·读书·新知三联书店 , 1994-5 , 96.00元,9.1,有情皆孽，无人不冤
撒哈拉的故事,https://book.douban.com/subject/1060068/,三毛 , 哈尔滨出版社 , 2003-8 , 15.80元,9.2,游荡的自由灵魂
杀死一只知更鸟,https://book.douban.com/subject/6781808/,[美] 哈珀·李 , 译林出版社 , 2012-9 , 32.00元,9.2,有一种东西不能遵循从众原则，那就是——人的良心
呐喊,https://book.douban.com/subject/1449351/,鲁迅 , 人民文学出版社 , 1973-3 , 0.36元,9.0,新文学的第一声呐喊
明朝那些事儿（1-9）,https://book.douban.com/subject/3674537/,当年明月 , 中国海关出版社 , 2009-4 , 358.20元,9.1,不拘一格的历史书写
沉默的大多数,https://book.douban.com/subject/1054685/,王小波 , 中国青年出版社 , 1997-10 , 27.00元,9.1,沉默是沉默者的通行证
失踪的孩子,https://book.douban.com/subject/30172069/,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2018-7 , 62.00元,9.2,我的整个生命，只是一场为了提升社会地位的低俗斗争。
新名字的故事,https://book.douban.com/subject/26986954/,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2017-4 , 59.00元,9.1,探索青年时代的激情、困惑、挣扎、背叛和失去
局外人,https://book.douban.com/subject/4908885/,[法] 阿尔贝·加缪 , 上海译文出版社 , 2010-8 , 22.00元,9.0,人生在世，永远也不该演戏作假
中国历代政治得失,https://book.douban.com/subject/1003479/,钱穆 , 生活·读书·新知三联书店 , 2001 , 12.00元,9.2,一部简明的“中国政治制度史”
人类简史,https://book.douban.com/subject/25985021/,[以色列] 尤瓦尔·赫拉利 , 中信出版社 , 2014-11 , 68.00元,9.1,跟着人类一同走过十万年
红楼梦,https://book.douban.com/subject/1007305/,[清] 曹雪芹 著 , 人民文学出版社 , 1996-12 , 59.70元,9.6,都云作者痴，谁解其中味？
活着,https://book.douban.com/subject/4913064/,余华 , 作家出版社 , 2012-8-1 , 20.00元,9.4,生的苦难与伟大
1984,https://book.douban.com/subject/4820710/,[英] 乔治·奥威尔 , 北京十月文艺出版社 , 2010-4-1 , 28.00,9.4,栗树荫下，我出卖你，你出卖我
百年孤独,https://book.douban.com/subject/6082808/,[哥伦比亚] 加西亚·马尔克斯 , 南海出版公司 , 2011-6 , 39.50元,9.3,魔幻现实主义文学代表作
三体全集,https://book.douban.com/subject/6518605/,刘慈欣 , 重庆出版社 , 2012-1-1 , 168.00元,9.4,地球往事三部曲
飘,https://book.douban.com/subject/1068920/,[美国] 玛格丽特·米切尔 , 译林出版社 , 2000-9 , 40.00元,9.3,革命时期的爱情，随风而逝
哈利·波特,https://book.douban.com/subject/24531956/,J.K.罗琳 (J.K.Rowling) , 人民文学出版社 , 2008-12-1 , 498.00元,9.7,从9¾站台开始的旅程
三国演义（全二册）,https://book.douban.com/subject/1019568/,[明] 罗贯中 , 人民文学出版社 , 1998-05 , 39.50元,9.3,是非成败转头空
房思琪的初恋乐园,https://book.douban.com/subject/27614904/,林奕含 , 北京联合出版公司 , 2018-2 , 45.00元,9.2,向死而生的文学绝唱
动物农场,https://book.douban.com/subject/2035179/,[英] 乔治·奥威尔 , 上海译文出版社 , 2007-3 , 10.00元,9.3,太阳底下并无新事
福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,[英] 阿·柯南道尔 , 1981-8 , 53.00元,68.00元,9.3,名侦探的代名词
白夜行,https://book.douban.com/subject/10554308/,[日] 东野圭吾 , 南海出版公司 , 2013-1-1 , 39.50元,9.1,一宗离奇命案牵出跨度近20年步步惊心的故事
小王子,https://book.douban.com/subject/1084336/,[法] 圣埃克苏佩里 , 人民文学出版社 , 2003-8 , 22.00元,9.0,献给长成了大人的孩子们
安徒生童话故事集,https://book.douban.com/subject/1046209/,（丹麦）安徒生 , 人民文学出版社 , 1997-08 , 25.00元,9.2,为了争取未来的一代
天龙八部,https://book.douban.com/subject/1255625/,金庸 , 生活·读书·新知三联书店 , 1994-5 , 96.00元,9.1,有情皆孽，无人不冤
撒哈拉的故事,https://book.douban.com/subject/1060068/,三毛 , 哈尔滨出版社 , 2003-8 , 15.80元,9.2,游荡的自由灵魂
杀死一只知更鸟,https://book.douban.com/subject/6781808/,[美] 哈珀·李 , 译林出版社 , 2012-9 , 32.00元,9.2,有一种东西不能遵循从众原则，那就是——人的良心
呐喊,https://book.douban.com/subject/1449351/,鲁迅 , 人民文学出版社 , 1973-3 , 0.36元,9.0,新文学的第一声呐喊
明朝那些事儿（1-9）,https://book.douban.com/subject/3674537/,当年明月 , 中国海关出版社 , 2009-4 , 358.20元,9.1,不拘一格的历史书写
沉默的大多数,https://book.douban.com/subject/1054685/,王小波 , 中国青年出版社 , 1997-10 , 27.00元,9.1,沉默是沉默者的通行证
失踪的孩子,https://book.douban.com/subject/30172069/,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2018-7 , 62.00元,9.2,我的整个生命，只是一场为了提升社会地位的低俗斗争。
新名字的故事,https://book.douban.com/subject/26986954/,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2017-4 , 59.00元,9.1,探索青年时代的激情、困惑、挣扎、背叛和失去
局外人,https://book.douban.com/subject/4908885/,[法] 阿尔贝·加缪 , 上海译文出版社 , 2010-8 , 22.00元,9.0,人生在世，永远也不该演戏作假
中国历代政治得失,https://book.douban.com/subject/1003479/,钱穆 , 生活·读书·新知三联书店 , 2001 , 12.00元,9.2,一部简明的“中国政治制度史”
人类简史,https://book.douban.com/subject/25985021/,[以色列] 尤瓦尔·赫拉利 , 中信出版社 , 2014-11 , 68.00元,9.1,跟着人类一同走过十万年
红楼梦,https://book.douban.com/subject/1007305/,[清] 曹雪芹 著 , 人民文学出版社 , 1996-12 , 59.70元,9.6,都云作者痴，谁解其中味？
活着,https://book.douban.com/subject/4913064/,余华 , 作家出版社 , 2012-8-1 , 20.00元,9.4,生的苦难与伟大
1984,https://book.douban.com/subject/4820710/,[英] 乔治·奥威尔 , 北京十月文艺出版社 , 2010-4-1 , 28.00,9.4,栗树荫下，我出卖你，你出卖我
百年孤独,https://book.douban.com/subject/6082808/,[哥伦比亚] 加西亚·马尔克斯 , 南海出版公司 , 2011-6 , 39.50元,9.3,魔幻现实主义文学代表作
三体全集,https://book.douban.com/subject/6518605/,刘慈欣 , 重庆出版社 , 2012-1-1 , 168.00元,9.4,地球往事三部曲
飘,https://book.douban.com/subject/1068920/,[美国] 玛格丽特·米切尔 , 译林出版社 , 2000-9 , 40.00元,9.3,革命时期的爱情，随风而逝
哈利·波特,https://book.douban.com/subject/24531956/,J.K.罗琳 (J.K.Rowling) , 人民文学出版社 , 2008-12-1 , 498.00元,9.7,从9¾站台开始的旅程
三国演义（全二册）,https://book.douban.com/subject/1019568/,[明] 罗贯中 , 人民文学出版社 , 1998-05 , 39.50元,9.3,是非成败转头空
房思琪的初恋乐园,https://book.douban.com/subject/27614904/,林奕含 , 北京联合出版公司 , 2018-2 , 45.00元,9.2,向死而生的文学绝唱
动物农场,https://book.douban.com/subject/2035179/,[英] 乔治·奥威尔 , 上海译文出版社 , 2007-3 , 10.00元,9.3,太阳底下并无新事
福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,[英] 阿·柯南道尔 , 1981-8 , 53.00元,68.00元,9.3,名侦探的代名词
白夜行,https://book.douban.com/subject/10554308/,[日] 东野圭吾 , 南海出版公司 , 2013-1-1 , 39.50元,9.1,一宗离奇命案牵出跨度近20年步步惊心的故事
小王子,https://book.douban.com/subject/1084336/,[法] 圣埃克苏佩里 , 人民文学出版社 , 2003-8 , 22.00元,9.0,献给长成了大人的孩子们
安徒生童话故事集,https://book.douban.com/subject/1046209/,（丹麦）安徒生 , 人民文学出版社 , 1997-08 , 25.00元,9.2,为了争取未来的一代
天龙八部,https://book.douban.com/subject/1255625/,金庸 , 生活·读书·新知三联书店 , 1994-5 , 96.00元,9.1,有情皆孽，无人不冤
撒哈拉的故事,https://book.douban.com/subject/1060068/,三毛 , 哈尔滨出版社 , 2003-8 , 15.80元,9.2,游荡的自由灵魂
杀死一只知更鸟,https://book.douban.com/subject/6781808/,[美] 哈珀·李 , 译林出版社 , 2012-9 , 32.00元,9.2,有一种东西不能遵循从众原则，那就是——人的良心
呐喊,https://book.douban.com/subject/1449351/,鲁迅 , 人民文学出版社 , 1973-3 , 0.36元,9.0,新文学的第一声呐喊
明朝那些事儿（1-9）,https://book.douban.com/subject/3674537/,当年明月 , 中国海关出版社 , 2009-4 , 358.20元,9.1,不拘一格的历史书写
沉默的大多数,https://book.douban.com/subject/1054685/,王小波 , 中国青年出版社 , 1997-10 , 27.00元,9.1,沉默是沉默者的通行证
失踪的孩子,https://book.douban.com/subject/30172069/,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2018-7 , 62.00元,9.2,我的整个生命，只是一场为了提升社会地位的低俗斗争。
新名字的故事,https://book.douban.com/subject/26986954/,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2017-4 , 59.00元,9.1,探索青年时代的激情、困惑、挣扎、背叛和失去
局外人,https://book.douban.com/subject/4908885/,[法] 阿尔贝·加缪 , 上海译文出版社 , 2010-8 , 22.00元,9.0,人生在世，永远也不该演戏作假
中国历代政治得失,https://book.douban.com/subject/1003479/,钱穆 , 生活·读书·新知三联书店 , 2001 , 12.00元,9.2,一部简明的“中国政治制度史”
人类简史,https://book.douban.com/subject/25985021/,[以色列] 尤瓦尔·赫拉利 , 中信出版社 , 2014-11 , 68.00元,9.1,跟着人类一同走过十万年
红楼梦,https://book.douban.com/subject/1007305/,[清] 曹雪芹 著 , 人民文学出版社 , 1996-12 , 59.70元,9.6,都云作者痴，谁解其中味？
活着,https://book.douban.com/subject/4913064/,余华 , 作家出版社 , 2012-8-1 , 20.00元,9.4,生的苦难与伟大
1984,https://book.douban.com/subject/4820710/,[英] 乔治·奥威尔 , 北京十月文艺出版社 , 2010-4-1 , 28.00,9.4,栗树荫下，我出卖你，你出卖我
百年孤独,https://book.douban.com/subject/6082808/,[哥伦比亚] 加西亚·马尔克斯 , 南海出版公司 , 2011-6 , 39.50元,9.3,魔幻现实主义文学代表作
三体全集,https://book.douban.com/subject/6518605/,刘慈欣 , 重庆出版社 , 2012-1-1 , 168.00元,9.4,地球往事三部曲
飘,https://book.douban.com/subject/1068920/,[美国] 玛格丽特·米切尔 , 译林出版社 , 2000-9 , 40.00元,9.3,革命时期的爱情，随风而逝
哈利·波特,https://book.douban.com/subject/24531956/,J.K.罗琳 (J.K.Rowling) , 人民文学出版社 , 2008-12-1 , 498.00元,9.7,从9¾站台开始的旅程
三国演义（全二册）,https://book.douban.com/subject/1019568/,[明] 罗贯中 , 人民文学出版社 , 1998-05 , 39.50元,9.3,是非成败转头空
房思琪的初恋乐园,https://book.douban.com/subject/27614904/,林奕含 , 北京联合出版公司 , 2018-2 , 45.00元,9.2,向死而生的文学绝唱
动物农场,https://book.douban.com/subject/2035179/,[英] 乔治·奥威尔 , 上海译文出版社 , 2007-3 , 10.00元,9.3,太阳底下并无新事
福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,[英] 阿·柯南道尔 , 1981-8 , 53.00元,68.00元,9.3,名侦探的代名词
白夜行,https://book.douban.com/subject/10554308/,[日] 东野圭吾 , 南海出版公司 , 2013-1-1 , 39.50元,9.1,一宗离奇命案牵出跨度近20年步步惊心的故事
小王子,https://book.douban.com/subject/1084336/,[法] 圣埃克苏佩里 , 人民文学出版社 , 2003-8 , 22.00元,9.0,献给长成了大人的孩子们
安徒生童话故事集,https://book.douban.com/subject/1046209/,（丹麦）安徒生 , 人民文学出版社 , 1997-08 , 25.00元,9.2,为了争取未来的一代
天龙八部,https://book.douban.com/subject/1255625/,金庸 , 生活·读书·新知三联书店 , 1994-5 , 96.00元,9.1,有情皆孽，无人不冤
撒哈拉的故事,https://book.douban.com/subject/1060068/,三毛 , 哈尔滨出版社 , 2003-8 , 15.80元,9.2,游荡的自由灵魂
杀死一只知更鸟,https://book.douban.com/subject/6781808/,[美] 哈珀·李 , 译林出版社 , 2012-9 , 32.00元,9.2,有一种东西不能遵循从众原则，那就是——人的良心
呐喊,https://book.douban.com/subject/1449351/,鲁迅 , 人民文学出版社 , 1973-3 , 0.36元,9.0,新文学的第一声呐喊
明朝那些事儿（1-9）,https://book.douban.com/subject/3674537/,当年明月 , 中国海关出版社 , 2009-4 , 358.20元,9.1,不拘一格的历史书写
沉默的大多数,https://book.douban.com/subject/1054685/,王小波 , 中国青年出版社 , 1997-10 , 27.00元,9.1,沉默是沉默者的通行证
失踪的孩子,https://book.douban.com/subject/30172069/,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2018-7 , 62.00元,9.2,我的整个生命，只是一场为了提升社会地位的低俗斗争。
新名字的故事,https://book.douban.com/subject/26986954/,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2017-4 , 59.00元,9.1,探索青年时代的激情、困惑、挣扎、背叛和失去
局外人,https://book.douban.com/subject/4908885/,[法] 阿尔贝·加缪 , 上海译文出版社 , 2010-8 , 22.00元,9.0,人生在世，永远也不该演戏作假
中国历代政治得失,https://book.douban.com/subject/1003479/,钱穆 , 生活·读书·新知三联书店 , 2001 , 12.00元,9.2,一部简明的“中国政治制度史”
人类简史,https://book.douban.com/subject/25985021/,[以色列] 尤瓦尔·赫拉利 , 中信出版社 , 2014-11 , 68.00元,9.1,跟着人类一同走过十万年
红楼梦,https://book.douban.com/subject/1007305/,[清] 曹雪芹 著 , 人民文学出版社 , 1996-12 , 59.70元,9.6,都云作者痴，谁解其中味？
活着,https://book.douban.com/subject/4913064/,余华 , 作家出版社 , 2012-8-1 , 20.00元,9.4,生的苦难与伟大
1984,https://book.douban.com/subject/4820710/,[英] 乔治·奥威尔 , 北京十月文艺出版社 , 2010-4-1 , 28.00,9.4,栗树荫下，我出卖你，你出卖我
百年孤独,https://book.douban.com/subject/6082808/,[哥伦比亚] 加西亚·马尔克斯 , 南海出版公司 , 2011-6 , 39.50元,9.3,魔幻现实主义文学代表作
三体全集,https://book.douban.com/subject/6518605/,刘慈欣 , 重庆出版社 , 2012-1-1 , 168.00元,9.4,地球往事三部曲
飘,https://book.douban.com/subject/1068920/,[美国] 玛格丽特·米切尔 , 译林出版社 , 2000-9 , 40.00元,9.3,革命时期的爱情，随风而逝
哈利·波特,https://book.douban.com/subject/24531956/,J.K.罗琳 (J.K.Rowling) , 人民文学出版社 , 2008-12-1 , 498.00元,9.7,从9¾站台开始的旅程
三国演义（全二册）,https://book.douban.com/subject/1019568/,[明] 罗贯中 , 人民文学出版社 , 1998-05 , 39.50元,9.3,是非成败转头空
房思琪的初恋乐园,https://book.douban.com/subject/27614904/,林奕含 , 北京联合出版公司 , 2018-2 , 45.00元,9.2,向死而生的文学绝唱
动物农场,https://book.douban.com/subject/2035179/,[英] 乔治·奥威尔 , 上海译文出版社 , 2007-3 , 10.00元,9.3,太阳底下并无新事
福尔摩斯探案全集（上中下）,https://book.douban.com/subject/1040211/,[英] 阿·柯南道尔 , 1981-8 , 53.00元,68.00元,9.3,名侦探的代名词
白夜行,https://book.douban.com/subject/10554308/,[日] 东野圭吾 , 南海出版公司 , 2013-1-1 , 39.50元,9.1,一宗离奇命案牵出跨度近20年步步惊心的故事
小王子,https://book.douban.com/subject/1084336/,[法] 圣埃克苏佩里 , 人民文学出版社 , 2003-8 , 22.00元,9.0,献给长成了大人的孩子们
安徒生童话故事集,https://book.douban.com/subject/1046209/,（丹麦）安徒生 , 人民文学出版社 , 1997-08 , 25.00元,9.2,为了争取未来的一代
天龙八部,https://book.douban.com/subject/1255625/,金庸 , 生活·读书·新知三联书店 , 1994-5 , 96.00元,9.1,有情皆孽，无人不冤
撒哈拉的故事,https://book.douban.com/subject/1060068/,三毛 , 哈尔滨出版社 , 2003-8 , 15.80元,9.2,游荡的自由灵魂
杀死一只知更鸟,https://book.douban.com/subject/6781808/,[美] 哈珀·李 , 译林出版社 , 2012-9 , 32.00元,9.2,有一种东西不能遵循从众原则，那就是——人的良心
呐喊,https://book.douban.com/subject/1449351/,鲁迅 , 人民文学出版社 , 1973-3 , 0.36元,9.0,新文学的第一声呐喊
明朝那些事儿（1-9）,https://book.douban.com/subject/3674537/,当年明月 , 中国海关出版社 , 2009-4 , 358.20元,9.1,不拘一格的历史书写
沉默的大多数,https://book.douban.com/subject/1054685/,王小波 , 中国青年出版社 , 1997-10 , 27.00元,9.1,沉默是沉默者的通行证
失踪的孩子,https://book.douban.com/subject/30172069/,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2018-7 , 62.00元,9.2,我的整个生命，只是一场为了提升社会地位的低俗斗争。
新名字的故事,https://book.douban.com/subject/26986954/,[意] 埃莱娜·费兰特 , 人民文学出版社 , 2017-4 , 59.00元,9.1,探索青年时代的激情、困惑、挣扎、背叛和失去
局外人,https://book.douban.com/subject/4908885/,[法] 阿尔贝·加缪 , 上海译文出版社 , 2010-8 , 22.00元,9.0,人生在世，永远也不该演戏作假
中国历代政治得失,https://book.douban.com/subject/1003479/,钱穆 , 生活·读书·新知三联书店 , 2001 , 12.00元,9.2,一部简明的“中国政治制度史”
人类简史,https://book.douban.com/subject/25985021/,[以色列] 尤瓦尔·赫拉利 , 中信出版社 , 2014-11 , 68.00元,9.1,跟着人类一同走过十万年
